trait,n_genes_in_rds
PE(18:0_18:2),0
PE(18:0_18:3),3
PE(18:1_18:1),0
PE(18:2_18:2),0
PE(18:2_18:3),0
PE(18:3_18:3),0
PG(16:0_16:0),0
PG(16:0_18:0),0
PG(16:0_18:1),0
PS(18:0_18:2),16
Panaxcerol B,2
Phytosphingosine,0
SM(d18:1_17:0),2
SQDG(16:0_14:0),0
SQDG(16:0_16:0),0
SQDG(16:0_18:1),204
SQDG(16:0_18:2),0
SQDG(16:0_18:3),0
SQDG(16:1_18:3),0
SQDG(18:0_18:3),0
SQDG(18:1_18:3),0
SQDG(18:2_18:3),0
SQDG(18:3_18:3),4
TG(10:0_10:0_10:0),3
TG(10:0_10:0_14:0),0
TG(10:0_12:0_14:0),0
TG(10:0_12:0_16:0),0
TG(10:0_14:0_16:0),0
TG(10:0_16:0_16:0),0
TG(12:0_12:0_12:0),0
TG(12:0_12:0_14:0),0
TG(12:0_12:0_18:1),0
TG(12:0_14:0_16:0),0
TG(12:0_14:0_18:1),0
TG(12:0_16:0_16:0),1
TG(12:0_16:0_18:1),0
TG(12:0_16:0_18:3),0
TG(12:0_18:1_18:3),19
TG(12:0_18:2_18:3),86
TG(14:0_14:0_16:1),1
TG(14:0_14:0_18:0),1
TG(14:0_14:1_18:1),0
TG(14:0_16:0_18:1),1
TG(14:0_16:0_18:2),2
TG(14:0_16:1_18:2),0
TG(14:0_16:1_22:6),0
TG(14:0_18:1_18:1),0
TG(14:0_18:1_18:2),0
TG(14:0_18:1_18:3),0
TG(14:0_18:2_18:3),78
TG(14:0_18:3_18:3),144
TG(16:0_16:0_16:0),0
TG(16:0_16:0_18:1),0
TG(16:0_16:0_20:1),0
TG(16:0_16:0_20:3),0
TG(16:0_18:0_18:2),0
TG(16:0_18:0_22:1),0
TG(16:0_18:1_18:2),0
TG(16:0_18:1_18:3),0
TG(16:0_18:1_20:0),0
TG(16:0_18:1_20:2),0
TG(16:0_18:1_22:0),0
TG(16:0_18:2_18:3),11
TG(16:0_18:2_22:0),3
TG(16:0_18:3_18:3),0
TG(16:1_16:1_22:5),0
TG(16:1_20:1_20:2),12
TG(18:0_18:0_18:2),0
TG(18:0_18:1_18:2),0
TG(18:0_18:1_22:0),0
TG(18:0_18:2_18:2),0
TG(18:0_18:2_18:3),0
TG(18:0_18:2_20:1),1
TG(18:0_18:2_22:0),0
TG(18:1_18:1_18:1),0
TG(18:1_18:1_18:2),0
TG(18:1_18:1_20:3),0
TG(18:1_18:2_18:2),39
TG(18:1_18:2_18:3),1
TG(18:1_18:2_22:0),11
TG(18:1_18:3_22:0),3
TG(18:1_20:3_22:0),0
TG(18:2_18:2_18:4),22
TG(18:2_18:2_22:1),0
TG(18:2_18:3_20:1),13
TG(18:2_18:3_20:3),9
TG(18:2_18:3_22:1),6
TG(18:2_20:2_22:2),54
TG(18:2_20:3_22:0),27
TG(18:3_18:3_18:3),30
TG(18:3_18:3_20:3),0
TG(8:0_10:0_10:0),4
Ubidecarenone,6
Ubiquinone 9,0
Vitamin K1,0
Zeaxanthin,0
alpha-Tocopherol,5
beta-Carotene,0
gamma-sitosterol,0
gibberellic acid,0
oxobutanoic acid,0
